model_name,roc_auc,pr_auc,f1,mcc
Limpo Escalonado Geral - RUSBoost RFE,0.89,0.7516877621657583,0.6571428571428571,0.530722777603022
Limpo Escalonado Geral - RUSBoost,0.8955555555555555,0.7290688140028857,0.6571428571428571,0.530722777603022
Limpo Escalonado Geral - RUSBoost RFE,0.89,0.7516877621657583,0.6571428571428571,0.530722777603022
Limpo Escalonado Geral - RUSBoost,0.8955555555555555,0.7290688140028857,0.6571428571428571,0.530722777603022
Original - Com Escalonamento - LightGBM SMOTE Ponderado RFE,0.9066666666666667,0.7549730190247119,0.6153846153846154,0.5222329678670935
Original - Com Escalonamento - LightGBM SMOTE Ponderado RFE,0.9066666666666667,0.7549730190247119,0.6153846153846154,0.5222329678670935
Limpo Escalonado Numericas - BalancedRandomForest,0.8944444444444444,0.7521407609457342,0.647887323943662,0.5173733742643253
Limpo Escalonado Numericas - BalancedRandomForest,0.8944444444444444,0.7521407609457342,0.647887323943662,0.5173733742643253
Limpo Escalonado Numericas - KNN,0.8651851851851852,0.716195102819608,0.6,0.5163977794943222
Limpo Escalonado Numericas - KNN,0.8651851851851852,0.716195102819608,0.6,0.5163977794943222
Limpo Escalonado Geral - LightGBM Ponderado RFE,0.901111111111111,0.7421835648379429,0.5833333333333334,0.5120196528544808
Limpo Escalonado Geral - LightGBM Ponderado RFE,0.901111111111111,0.7421835648379429,0.5833333333333334,0.5120196528544808
Limpo Escalonado Numericas - LightGBM Ponderado,0.9277777777777778,0.7943468193507606,0.5652173913043478,0.5095246653650681
Limpo Escalonado Numericas - LightGBM Ponderado,0.9277777777777778,0.7943468193507606,0.5652173913043478,0.5095246653650681
Limpos - Sem Escalonamento - LightGBM Ponderado,0.9277777777777778,0.7943468193507606,0.5652173913043478,0.5095246653650681
Limpos - Sem Escalonamento - LightGBM Ponderado RFE,0.9111111111111112,0.7522782831924515,0.5652173913043478,0.5095246653650681
Limpos - Sem Escalonamento - LightGBM Ponderado RFE,0.9111111111111112,0.7522782831924515,0.5652173913043478,0.5095246653650681
Limpo Escalonado Geral - LightGBM Ponderado,0.9277777777777778,0.7943468193507606,0.5652173913043478,0.5095246653650681
Limpos - Sem Escalonamento - LightGBM Ponderado,0.9277777777777778,0.7943468193507606,0.5652173913043478,0.5095246653650681
Limpo Escalonado Geral - LightGBM Ponderado,0.9277777777777778,0.7943468193507606,0.5652173913043478,0.5095246653650681
Limpo Escalonado Geral - BalancedRandomForest,0.8951851851851853,0.7521533652147621,0.6376811594202898,0.5033390669451153
Limpos - Sem Escalonamento - BalancedRandomForest,0.8959259259259259,0.7361629411077979,0.6376811594202898,0.5033390669451153
