date,count,title,type
06/14/2025,1,FUBAR,tv-shows
06/15/2025,4,FUBAR,tv-shows
06/16/2025,2,FUBAR,tv-shows
06/17/2025,2,FUBAR,tv-shows
06/18/2025,0,FUBAR,tv-shows
06/19/2025,3,FUBAR,tv-shows
06/20/2025,1,FUBAR,tv-shows
06/14/2025,2,MobLand,tv-shows
06/15/2025,1,MobLand,tv-shows
06/16/2025,0,MobLand,tv-shows
06/17/2025,0,MobLand,tv-shows
06/18/2025,0,MobLand,tv-shows
06/19/2025,0,MobLand,tv-shows
06/20/2025,0,MobLand,tv-shows
06/14/2025,6,Murderbot,tv-shows
06/15/2025,0,Murderbot,tv-shows
06/16/2025,33,Murderbot,tv-shows
06/17/2025,10,Murderbot,tv-shows
06/18/2025,73,Murderbot,tv-shows
06/19/2025,10,Murderbot,tv-shows
06/20/2025,103,Murderbot,tv-shows
06/14/2025,0,Poker Face,tv-shows
06/15/2025,3,Poker Face,tv-shows
06/16/2025,6010,Poker Face,tv-shows
06/17/2025,9180,Poker Face,tv-shows
06/18/2025,10000,Poker Face,tv-shows
06/19/2025,1,Poker Face,tv-shows
06/20/2025,10300,Poker Face,tv-shows
06/14/2025,10,Resident Alien,tv-shows
06/15/2025,362,Resident Alien,tv-shows
06/16/2025,769,Resident Alien,tv-shows
06/17/2025,587,Resident Alien,tv-shows
06/18/2025,682,Resident Alien,tv-shows
06/19/2025,480,Resident Alien,tv-shows
06/20/2025,588,Resident Alien,tv-shows
06/14/2025,8750,Revival,tv-shows
06/15/2025,6800,Revival,tv-shows
06/16/2025,13500,Revival,tv-shows
06/17/2025,12900,Revival,tv-shows
06/18/2025,15700,Revival,tv-shows
06/19/2025,13900,Revival,tv-shows
06/20/2025,15900,Revival,tv-shows
06/14/2025,20900,Stick,tv-shows
06/15/2025,15300,Stick,tv-shows
06/16/2025,32900,Stick,tv-shows
06/17/2025,38500,Stick,tv-shows
06/18/2025,42800,Stick,tv-shows
06/19/2025,36500,Stick,tv-shows
06/20/2025,53000,Stick,tv-shows
06/14/2025,7370,The Better Sister,tv-shows
06/15/2025,5800,The Better Sister,tv-shows
06/16/2025,8630,The Better Sister,tv-shows
06/17/2025,12400,The Better Sister,tv-shows
06/18/2025,15700,The Better Sister,tv-shows
06/19/2025,15600,The Better Sister,tv-shows
06/20/2025,16900,The Better Sister,tv-shows
06/14/2025,10,We Were Liars,tv-shows
06/15/2025,1020,We Were Liars,tv-shows
06/16/2025,1400,We Were Liars,tv-shows
06/17/2025,0,We Were Liars,tv-shows
06/18/2025,0,We Were Liars,tv-shows
06/19/2025,3,We Were Liars,tv-shows
06/20/2025,2360,We Were Liars,tv-shows
06/21/2025,11400,28 Weeks Later,movies
06/22/2025,15700,28 Weeks Later,movies
06/21/2025,3120,A Minecraft Movie,movies
06/22/2025,3400,A Minecraft Movie,movies
06/21/2025,6760,Cleaner,movies
06/22/2025,9080,Cleaner,movies
06/21/2025,15500,Deep Cover,movies
06/22/2025,20000,Deep Cover,movies
06/21/2025,1330,Echo Valley,movies
06/22/2025,1,Echo Valley,movies
06/21/2025,7460,How to Train Your Dragon,movies
06/22/2025,10300,How to Train Your Dragon,movies
06/21/2025,3610,Jaws,movies
06/22/2025,5,Jaws,movies
06/21/2025,6,Mickey 17,movies
06/22/2025,2,Mickey 17,movies
06/21/2025,0,Predator: Killer of Killers,movies
06/22/2025,0,Predator: Killer of Killers,movies
06/21/2025,11200,STRAW,movies
06/22/2025,12900,STRAW,movies
06/21/2025,0,The Accountant²,movies
06/22/2025,8,The Accountant²,movies
06/21/2025,4630,The Substance,movies
06/22/2025,5820,The Substance,movies
06/21/2025,5,Andor,tv-shows
06/22/2025,2,Andor,tv-shows
